Id;Time;Time_year;Species;Gear;Catch;Unit;Unit2
NS0213U2;Kati_kati;1995.5;TAA UZI;Dragnet;25;mitungo;
NS0213U2;Kati_kati;1995.5;Lethrinus_harak;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Lethrinus_mahsena;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Monodactylus_argentus;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Hipposcarus_harid;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Mullidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Chirocentridae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Sphyraenidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Caesionidae;Dragnet;;;
NS0213U2;Kati_kati;1995.5;Squids;Dragnet;;;
NS0213U2;Kati_kati;1995.5;VIBUA;Dragnet;;;
NS0213U2;Aliopanza;1970;TAA UZI;;30;mitungo;
NS0213U2;Aliopanza;1970;Lethrinus_harak;;;;
NS0213U2;Aliopanza;1970;Lethrinus_mahsena;;;;
NS0213U2;Aliopanza;1970;Monodactylus_argentus;;;;
NS0213U2;Aliopanza;1970;Hipposcarus_harid;;;;
NS0213U2;Aliopanza;1970;Mullidae;;;;
NS0213U2;Aliopanza;1970;Chirocentridae;;;;
NS0213U2;Aliopanza;1970;Sphyraenidae;;;;
NS0213U2;Aliopanza;1970;Caesionidae;;;;
NS0213U2;Aliopanza;1970;Squids;;;;
NS0213U2;Aliopanza;1970;VIBUA;;;;
NS0213U3;Sasa;2021;TAA UZI;Handline;2;mitungo;
NS0213U3;Sasa;2021;Lethrinus_borbonicus;Handline;2;mitungo;
NS0213U3;Sasa;2021;Lethrinus_harak;Handline;3;number;
NS0213U3;Sasa;2021;Squids;Handline;20;number;
NS0213U3;Sasa;2021;Carangidae;Handline;5;number;
NS0213U3;Kati_kati;2013.5;TAA UZI;Handline;4.5;mitungo;
NS0213U3;Kati_kati;2013.5;Lethrinus_borbonicus;Handline;;;
NS0213U3;Kati_kati;2013.5;Lethrinus_harak;Handline;;;
NS0213U3;Kati_kati;2013.5;Squids;Handline;;;
NS0213U3;Kati_kati;2013.5;Carangidae;Handline;;;
NS0213U3;Aliopanza;2006;TAA UZI;Handline;4.5;mitungo;
NS0213U3;Aliopanza;2006;Lethrinus_borbonicus;Handline;;;
NS0213U3;Aliopanza;2006;Lethrinus_harak;Handline;;;
NS0213U3;Aliopanza;2006;Squids;Handline;;;
NS0213U3;Aliopanza;2006;Carangidae;Handline;;;
NS0213U4;Sasa;2021;Squids;Handline;5;kg;
NS0213U4;Sasa;2021;Octopus;Handline;1;mitungo;
NS0213U4;Kati_kati;2018;Squids;Handline;none;;
NS0213U4;Kati_kati;2018;Octopus;Handline;none;;
NS0213U4;Aliopanza;2015;Squids;Handline;12;kg;
NS0213U4;Aliopanza;2015;Octopus;Handline;;;
NS0213U5;Sasa;2021;Lethrinus_variegatus;Handline;3;mitungo;
NS0213U5;Sasa;2021;Balistidae;Handline;3;mitungo;
NS0213U5;Kati_kati;2018;Lethrinus_variegatus;Handline;4;mitungo;
NS0213U5;Kati_kati;2018;Balistidae;Handline;4;mitungo;
NS0213U5;Aliopanza;2015;Lethrinus_variegatus;Handline;6;mitungo;
NS0213U5;Aliopanza;2015;Balistidae;Handline;4;mitungo;
NS0214C6;Sasa;2021;Sailfish;Gillnet;5;number;
NS0214C6;Sasa;2021;Tuna;Gillnet;6;number;
NS0214C6;Sasa;2021;Skipjack_tuna;Gillnet;5;number;
NS0214C6;Kati_kati;2016;Sailfish;Gillnet;10;number;
NS0214C6;Kati_kati;2016;Tuna;Gillnet;20;number;
NS0214C6;Kati_kati;2016;Skipjack_tuna;Gillnet;15;number;
NS0214C6;Aliopanza;2011;Sailfish;Gillnet;10;number;
NS0214C6;Aliopanza;2011;Tuna;Gillnet;20;number;
NS0214C6;Aliopanza;2011;Skipjack_tuna;Gillnet;15;number;
NS0214C7;Sasa;2021;Lethrinus_lentjan;Dragnet;8;mitungo;
NS0214C7;Sasa;2021;Lethrinus_harak;Dragnet;20;mitungo;
NS0214C7;Sasa;2021;Anguilliformes;Spear;3;mitungo;
NS0214C7;Kati_kati;2016;Lethrinus_lentjan;Dragnet;8;mitungo;
NS0214C7;Kati_kati;2016;Lethrinus_harak;Dragnet;20;mitungo;
NS0214C7;Kati_kati;2016;Anguilliformes;Spear;6;mitungo;
NS0214C7;Aliopanza;2011;Lethrinus_lentjan;Dragnet;8;mitungo;
NS0214C7;Aliopanza;2011;Lethrinus_harak;Dragnet;20;mitungo;
NS0214C7;Aliopanza;2011;Anguilliformes;Spear;6;mitungo;
NS0214C8;Sasa;2021;Squids;Handline;2;mitungo;
NS0214C8;Kati_kati;2019;Squids;Handline;NA;NA;
NS0214C8;Aliopanza;2017;Squids;Handline;NA;NA;
NS0214C9;Sasa;2021;Siganus_sutor;Dragnet;3;mitungo;
NS0214C9;Sasa;2021;Lethrinus_borbonicus;Dragnet;7;mitungo;
NS0214C9;Sasa;2021;Lethrinus_harak;Dragnet;9;mitungo;
NS0214C9;Sasa;2021;Chirocentridae;Dragnet;15;mitungo;
NS0214C9;Kati_kati;2011;Siganus_sutor;Dragnet;30;mitungo;
NS0214C9;Kati_kati;2011;Lethrinus_borbonicus;Dragnet;30;mitungo;
NS0214C9;Kati_kati;2011;Lethrinus_harak;Dragnet;NA;NA;
NS0214C9;Kati_kati;2011;Chirocentridae;Dragnet;NA;NA;
